#school[0], eng[1], math[2], rating[3], asian[4], white[5], hispanic[6], black[7]
Ardenwood Elementary School, 84, 85, 10, 77, 8, 3, 2
Brookvale Elementary School, 68, 72, 10, 49, 21, 11, 3
Joshua Chadbourne Elementary School, 83, 88, 10, 88, 6, 3, 1
Forest Park Elementary School, 83, 88, 10, 87, 4, 2, 2
John Gomes Elementary School, 88, 91, 10, 89, 5, 2, 0
Harvey Green Elementary School, 70, 72, 10, 44, 20, 22, 2
O. N. Hirsch Elementary School, 70, 74, 10, 53, 17, 15, 3
James Leitch Elementary School, 82, 88, 10, 84, 6, 3, 0
Mission San Jose Elementary School, 90, 92, 10, 89, 4, 3, 0
Mission Valley Elementary School, 85, 87, 10, 86, 5, 4, 1
Niles Elementary School, 71, 73, 10, 45, 27, 14, 2
Parkmont Elementary School, 80, 79, 10, 68, 13, 10, 2
Warm Springs Elementary School, 84, 88, 10, 81, 9, 2, 1
Fred E. Weibel Elementary School, 84, 88, 10, 82, 7, 4, 1
Glenmoor Elementary School, 66, 62, 9, 33, 20, 30, 4
Steven Millard Elementary School, 62, 64, 9, 39, 18, 26, 3
Oliveira Elementary School, 58, 60, 9, 48, 12, 21, 6
Warwick Elementary School, 65, 63, 9, 50, 18, 12, 3
Joseph Azevada Elementary School, 53, 51, 8, 38, 17, 25, 2
J. Haley Durham Elementary School, 50, 53, 8, 31, 14, 31, 7
Tom Maloney Elementary School, 54, 54, 8, 45, 26, 13, 3
John G. Mattos Elementary School, 52, 54, 8, 40, 28, 16, 2
Patterson Elementary School, 52, 53, 8, 39, 16, 19, 5
Brier Elementary School, 48, 44, 7, 33, 15, 35, 5
E. M. Grimmer Elementary School, 42, 41, 7, 15, 11, 63, 1
Vallejo Mill Elementary School, 47, 49, 7, 22, 27, 27, 7
John Blacow Elementary School, 37, 34, 6, 12, 11, 61, 4
Cabrillo Elementary School, 39, 37, 6, 20, 8, 50, 9


